most_recent,first_last,Country,Year,mcpr_aw,mcpw_mw,del_home,del_Fac,ppfp_1_all,ppfp_1_fac,ppfp_1_home,ppfp_3_all,ppfp_3_fac,ppfp_3_home,ppfp_6_all,ppfp_6_fac,ppfp_6_home,ppfp_12_all,ppfp_12_fac,ppfp_12_home
,,Ethiopia,2005,,,0.94390663,0.05609337,0.01448141,0.0777357,0.0107224,0.04002616,0.26338669,0.02675255,0.05586761,0.30412203,0.04111464,0.07765326,0.34898795,0.0615287
1,,Ethiopia,2011,,,0.89019029,0.10980971,0.02290615,0.09174075,0.01441504,0.1096047,0.40786678,0.07281248,0.1458361,0.47376949,0.10538377,0.17889891,0.52733993,0.13591685
2,,Ethiopia,2016,,,0.70029639,0.29970361,0.04311975,0.08128384,0.02678679,0.16383327,0.30839976,0.10196361,0.2082249,0.37814474,0.13550485,0.2589852,0.43836899,0.18221489
1,,Ghana,2008,,,0.43459458,0.56540542,0.01040828,0.01482431,0.00466304,0.03681616,0.04541711,0.02562637,0.0794815,0.10653944,0.04427927,0.12953393,0.14722074,0.10652348
2,,Ghana,2014,,,0.25506976,0.74493024,0.03593632,0.04419211,0.01182531,0.067611,0.07707456,0.03997273,0.11655503,0.13115122,0.07392694,0.18913487,0.20806276,0.13385606
1,,Lesotho,2009,,,0.42454783,0.57545217,0.13742267,0.16943758,0.09402814,0.23823868,0.30166495,0.15226772,0.31971099,0.38449498,0.23189972,0.40274597,0.46861443,0.31346474
2,,Lesotho,2014,,,0.23898161,0.76101839,0.3383752,0.36557531,0.25175857,0.48206906,0.51724457,0.37005537,0.57188028,0.61074968,0.44810371,0.65858111,0.69087821,0.55573349
,,Malawi,2004,,,0.30632281,0.69367719,0.04528606,0.0489,0.03710217,0.10673198,0.11776548,0.08174631,0.20850798,0.23735508,0.14318286,0.28845069,0.3208191,0.21515147
1,,Malawi,2010,,,0.25908127,0.74091873,0.06660395,0.07146573,0.05270028,0.15882802,0.17043334,0.12563921,0.29556103,0.30667051,0.26379022,0.41166446,0.425792,0.37126263
2,,Malawi,2015.5,,,0.07685208,0.92314792,0.1311157,0.13435904,0.0921567,0.29452991,0.29932868,0.23688707,0.44639969,0.45362928,0.3595578,0.55374618,0.56128623,0.46317509
1,,Namibia,2006.5,,,0.18699334,0.81300666,0.19784809,0.22318337,0.08769572,0.28192879,0.31141608,0.15372439,0.36176703,0.40006928,0.19523709,0.4317953,0.47624574,0.23853437
2,,Namibia,2013,,,0.12143112,0.87856888,0.21348301,0.22506784,0.12966535,0.32351503,0.34028142,0.20220812,0.41911478,0.43819046,0.28109998,0.51741352,0.53876078,0.3629635
1,,Rwanda,2010,,,0.25541984,0.74458016,0.06260689,0.06816001,0.04641884,0.17247172,0.19184391,0.11599941,0.24520654,0.27092979,0.1702201,0.35606434,0.37814994,0.29168212
2,,Rwanda,2014.5,,,0.08869051,0.91130949,0.06447617,0.06623217,0.04643303,0.23247116,0.24228953,0.13158577,0.32281219,0.33581088,0.18924849,0.40955082,0.4225833,0.27563993
,,Senegal,2010.5,,,,,,,,,,,,,,,,
1,,Sierra Leone,2008,,,0.73378044,0.26621956,0.03018709,0.02997213,0.03026508,0.03385027,0.03573734,0.03316564,0.03574273,0.04512991,0.032337,0.04605868,0.06754002,0.03826514
2,,Sierra Leone,2013,,,0.4199674,0.5800326,0.02462573,0.02595761,0.02278621,0.02908897,0.03170018,0.02548253,0.0411453,0.04575863,0.03477366,0.07883802,0.08686828,0.06774713
,,Uganda,2006,,,0.53399309,0.46600691,0.01636919,0.02513404,0.00872024,0.04529199,0.06244747,0.03032069,0.09043197,0.1284681,0.05723847,0.1271176,0.17649018,0.08403097
1,,Uganda,2011,,,0.3418458,0.6581542,0.02932587,0.0359863,0.01650257,0.07226973,0.08831465,0.04137851,0.12485681,0.15619412,0.06452322,0.19336058,0.23602623,0.1112166
2,,Uganda,2016,,,0.25916918,0.74083082,0.05237932,0.05617166,0.04153897,0.11429489,0.12163215,0.09332144,0.19734059,0.21136665,0.15724733,0.2707821,0.28647348,0.22592852
,,Zimbabwe,2005.5,,,0.32463186,0.67536814,0.39827797,0.44717378,0.29655453,0.60322912,0.66887059,0.46666781,0.67827456,0.74151942,0.54669917,0.68321287,0.73717024,0.5709593
1,,Zimbabwe,2010.5,,,0.36830177,0.63169823,0.36408945,0.4067279,0.29095748,0.51969851,0.57230265,0.42947372,0.57705589,0.62975162,0.48667402,0.59678497,0.64996591,0.50557089
2,,Zimbabwe,2015,,,0.21961415,0.78038585,0.43965707,0.48040072,0.29487692,0.63341895,0.68202103,0.46071431,0.69341363,0.73894114,0.53163435,0.70326879,0.74719183,0.54719085
